confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
409,20,14,t02,2020-12-22,PL51,Dolnośląskie
768,32,27,t04,2020-12-22,PL61,Kujawsko-Pomorskie
524,27,18,t06,2020-12-22,PL81,Lubelskie
141,5,3,t08,2020-12-22,PL43,Lubuskie
453,22,19,t10,2020-12-22,PL71,Łódzkie
196,25,12,t12,2020-12-22,PL21,Małopolskie
884,29,18,t14,2020-12-22,PL9,Mazowieckie
93,19,16,t16,2020-12-22,PL52,Opolskie
225,11,9,t18,2020-12-22,PL82,Podkarpackie
172,4,4,t20,2020-12-22,PL84,Podlaskie
697,12,7,t22,2020-12-22,PL63,Pomorskie
719,20,19,t24,2020-12-22,PL22,Śląskie
153,15,13,t26,2020-12-22,PL72,Świętokrzyskie
578,20,15,t28,2020-12-22,PL62,Warmińsko-Mazurskie
574,24,20,t30,2020-12-22,PL41,Wielkopolskie
391,24,23,t32,2020-12-22,PL42,Zachodniopomorskie
206,5,1,t02,2020-12-21,PL51,Dolnośląskie
480,4,4,t04,2020-12-21,PL61,Kujawsko-Pomorskie
245,0,0,t06,2020-12-21,PL81,Lubelskie
168,0,0,t08,2020-12-21,PL43,Lubuskie
265,2,1,t10,2020-12-21,PL71,Łódzkie
207,3,0,t12,2020-12-21,PL21,Małopolskie
630,10,9,t14,2020-12-21,PL9,Mazowieckie
138,2,1,t16,2020-12-21,PL52,Opolskie
132,5,5,t18,2020-12-21,PL82,Podkarpackie
100,1,1,t20,2020-12-21,PL84,Podlaskie
549,2,0,t22,2020-12-21,PL63,Pomorskie
240,2,1,t24,2020-12-21,PL22,Śląskie
65,6,6,t26,2020-12-21,PL72,Świętokrzyskie
171,1,1,t28,2020-12-21,PL62,Warmińsko-Mazurskie
302,32,11,t30,2020-12-21,PL41,Wielkopolskie
561,2,2,t32,2020-12-21,PL42,Zachodniopomorskie
486,8,8,t02,2020-12-20,PL51,Dolnośląskie
788,13,12,t04,2020-12-20,PL61,Kujawsko-Pomorskie
299,20,15,t06,2020-12-20,PL81,Lubelskie
320,1,0,t08,2020-12-20,PL43,Lubuskie
447,9,8,t10,2020-12-20,PL71,Łódzkie
310,1,1,t12,2020-12-20,PL21,Małopolskie
1105,17,12,t14,2020-12-20,PL9,Mazowieckie
173,1,1,t16,2020-12-20,PL52,Opolskie
142,10,10,t18,2020-12-20,PL82,Podkarpackie
178,9,4,t20,2020-12-20,PL84,Podlaskie
817,3,3,t22,2020-12-20,PL63,Pomorskie
694,17,15,t24,2020-12-20,PL22,Śląskie
129,1,1,t26,2020-12-20,PL72,Świętokrzyskie
612,1,1,t28,2020-12-20,PL62,Warmińsko-Mazurskie
1151,24,5,t30,2020-12-20,PL41,Wielkopolskie
773,8,8,t32,2020-12-20,PL42,Zachodniopomorskie
593,24,18,t02,2020-12-19,PL51,Dolnośląskie
1114,32,26,t04,2020-12-19,PL61,Kujawsko-Pomorskie
650,29,24,t06,2020-12-19,PL81,Lubelskie
407,19,8,t08,2020-12-19,PL43,Lubuskie
762,32,32,t10,2020-12-19,PL71,Łódzkie
391,22,9,t12,2020-12-19,PL21,Małopolskie
1383,47,37,t14,2020-12-19,PL9,Mazowieckie
222,14,13,t16,2020-12-19,PL52,Opolskie
366,13,10,t18,2020-12-19,PL82,Podkarpackie
341,9,5,t20,2020-12-19,PL84,Podlaskie
1040,30,27,t22,2020-12-19,PL63,Pomorskie
803,55,45,t24,2020-12-19,PL22,Śląskie
164,16,16,t26,2020-12-19,PL72,Świętokrzyskie
707,36,31,t28,2020-12-19,PL62,Warmińsko-Mazurskie
1197,79,48,t30,2020-12-19,PL41,Wielkopolskie
974,26,26,t32,2020-12-19,PL42,Zachodniopomorskie
691,32,17,t02,2020-12-18,PL51,Dolnośląskie
1050,27,22,t04,2020-12-18,PL61,Kujawsko-Pomorskie
534,21,18,t06,2020-12-18,PL81,Lubelskie
427,27,7,t08,2020-12-18,PL43,Lubuskie
656,34,20,t10,2020-12-18,PL71,Łódzkie
399,21,11,t12,2020-12-18,PL21,Małopolskie
1422,46,34,t14,2020-12-18,PL9,Mazowieckie
250,13,12,t16,2020-12-18,PL52,Opolskie
168,29,22,t18,2020-12-18,PL82,Podkarpackie
266,12,6,t20,2020-12-18,PL84,Podlaskie
951,23,17,t22,2020-12-18,PL63,Pomorskie
918,46,39,t24,2020-12-18,PL22,Śląskie
180,14,14,t26,2020-12-18,PL72,Świętokrzyskie
827,19,18,t28,2020-12-18,PL62,Warmińsko-Mazurskie
1148,33,20,t30,2020-12-18,PL41,Wielkopolskie
956,29,27,t32,2020-12-18,PL42,Zachodniopomorskie
681,27,24,t02,2020-12-17,PL51,Dolnośląskie
1138,45,37,t04,2020-12-17,PL61,Kujawsko-Pomorskie
699,22,12,t06,2020-12-17,PL81,Lubelskie
320,21,3,t08,2020-12-17,PL43,Lubuskie
767,27,23,t10,2020-12-17,PL71,Łódzkie
351,32,23,t12,2020-12-17,PL21,Małopolskie
1318,61,48,t14,2020-12-17,PL9,Mazowieckie
251,15,14,t16,2020-12-17,PL52,Opolskie
288,16,14,t18,2020-12-17,PL82,Podkarpackie
230,10,5,t20,2020-12-17,PL84,Podlaskie
951,22,20,t22,2020-12-17,PL63,Pomorskie
964,27,26,t24,2020-12-17,PL22,Śląskie
231,11,10,t26,2020-12-17,PL72,Świętokrzyskie
935,27,24,t28,2020-12-17,PL62,Warmińsko-Mazurskie
1555,51,38,t30,2020-12-17,PL41,Wielkopolskie
1124,17,17,t32,2020-12-17,PL42,Zachodniopomorskie
629,40,33,t02,2020-12-16,PL51,Dolnośląskie
1181,45,38,t04,2020-12-16,PL61,Kujawsko-Pomorskie
641,37,31,t06,2020-12-16,PL81,Lubelskie
323,29,7,t08,2020-12-16,PL43,Lubuskie
943,68,47,t10,2020-12-16,PL71,Łódzkie
538,25,7,t12,2020-12-16,PL21,Małopolskie
1461,66,48,t14,2020-12-16,PL9,Mazowieckie
247,20,20,t16,2020-12-16,PL52,Opolskie
322,31,22,t18,2020-12-16,PL82,Podkarpackie
370,29,14,t20,2020-12-16,PL84,Podlaskie
868,28,22,t22,2020-12-16,PL63,Pomorskie
1340,48,46,t24,2020-12-16,PL22,Śląskie
181,11,10,t26,2020-12-16,PL72,Świętokrzyskie
815,31,26,t28,2020-12-16,PL62,Warmińsko-Mazurskie
1373,73,56,t30,2020-12-16,PL41,Wielkopolskie
1064,24,23,t32,2020-12-16,PL42,Zachodniopomorskie
519,30,26,t02,2020-12-15,PL51,Dolnośląskie
750,28,21,t04,2020-12-15,PL61,Kujawsko-Pomorskie
437,14,12,t06,2020-12-15,PL81,Lubelskie
150,17,8,t08,2020-12-15,PL43,Lubuskie
446,26,15,t10,2020-12-15,PL71,Łódzkie
232,27,20,t12,2020-12-15,PL21,Małopolskie
768,23,20,t14,2020-12-15,PL9,Mazowieckie
129,17,14,t16,2020-12-15,PL52,Opolskie
306,7,5,t18,2020-12-15,PL82,Podkarpackie
169,5,4,t20,2020-12-15,PL84,Podlaskie
495,29,26,t22,2020-12-15,PL63,Pomorskie
608,45,40,t24,2020-12-15,PL22,Śląskie
174,8,7,t26,2020-12-15,PL72,Świętokrzyskie
572,23,20,t28,2020-12-15,PL62,Warmińsko-Mazurskie
639,46,30,t30,2020-12-15,PL41,Wielkopolskie
328,4,4,t32,2020-12-15,PL42,Zachodniopomorskie
258,0,0,t02,2020-12-14,PL51,Dolnośląskie
531,9,8,t04,2020-12-14,PL61,Kujawsko-Pomorskie
179,11,11,t06,2020-12-14,PL81,Lubelskie
207,7,3,t08,2020-12-14,PL43,Lubuskie
190,0,0,t10,2020-12-14,PL71,Łódzkie
143,0,0,t12,2020-12-14,PL21,Małopolskie
715,12,8,t14,2020-12-14,PL9,Mazowieckie
176,1,1,t16,2020-12-14,PL52,Opolskie
180,3,3,t18,2020-12-14,PL82,Podkarpackie
78,0,0,t20,2020-12-14,PL84,Podlaskie
460,4,4,t22,2020-12-14,PL63,Pomorskie
272,3,2,t24,2020-12-14,PL22,Śląskie
108,0,0,t26,2020-12-14,PL72,Świętokrzyskie
275,1,1,t28,2020-12-14,PL62,Warmińsko-Mazurskie
392,43,13,t30,2020-12-14,PL41,Wielkopolskie
561,2,2,t32,2020-12-14,PL42,Zachodniopomorskie
498,1,0,t02,2020-12-13,PL51,Dolnośląskie
756,18,14,t04,2020-12-13,PL61,Kujawsko-Pomorskie
378,14,13,t06,2020-12-13,PL81,Lubelskie
300,0,0,t08,2020-12-13,PL43,Lubuskie
