confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
1004,29,26,t04,2020-11-28,PL61,Kujawsko-Pomorskie
937,37,24,t06,2020-11-28,PL81,Lubelskie
398,20,15,t08,2020-11-28,PL43,Lubuskie
658,60,52,t10,2020-11-28,PL71,Łódzkie
661,42,27,t12,2020-11-28,PL21,Małopolskie
1986,60,54,t14,2020-11-28,PL9,Mazowieckie
429,18,18,t16,2020-11-28,PL52,Opolskie
713,51,37,t18,2020-11-28,PL82,Podkarpackie
481,15,15,t20,2020-11-28,PL84,Podlaskie
1026,44,41,t22,2020-11-28,PL63,Pomorskie
1402,54,53,t24,2020-11-28,PL22,Śląskie
310,16,15,t26,2020-11-28,PL72,Świętokrzyskie
950,47,44,t28,2020-11-28,PL62,Warmińsko-Mazurskie
1748,60,52,t30,2020-11-28,PL41,Wielkopolskie
902,16,12,t32,2020-11-28,PL42,Zachodniopomorskie
1318,65,53,t02,2020-11-27,PL51,Dolnośląskie
1368,30,30,t04,2020-11-27,PL61,Kujawsko-Pomorskie
802,37,26,t06,2020-11-27,PL81,Lubelskie
494,27,21,t08,2020-11-27,PL43,Lubuskie
1001,43,32,t10,2020-11-27,PL71,Łódzkie
868,43,16,t12,2020-11-27,PL21,Małopolskie
2057,81,74,t14,2020-11-27,PL9,Mazowieckie
536,19,18,t16,2020-11-27,PL52,Opolskie
790,33,32,t18,2020-11-27,PL82,Podkarpackie
491,25,20,t20,2020-11-27,PL84,Podlaskie
1258,30,22,t22,2020-11-27,PL63,Pomorskie
1560,50,45,t24,2020-11-27,PL22,Śląskie
406,19,18,t26,2020-11-27,PL72,Świętokrzyskie
1065,30,30,t28,2020-11-27,PL62,Warmińsko-Mazurskie
2072,25,15,t30,2020-11-27,PL41,Wielkopolskie
915,22,15,t32,2020-11-27,PL42,Zachodniopomorskie
1112,51,43,t02,2020-11-26,PL51,Dolnośląskie
1207,24,23,t04,2020-11-26,PL61,Kujawsko-Pomorskie
1027,30,25,t06,2020-11-26,PL81,Lubelskie
508,7,4,t08,2020-11-26,PL43,Lubuskie
1099,37,29,t10,2020-11-26,PL71,Łódzkie
914,40,26,t12,2020-11-26,PL21,Małopolskie
1785,74,70,t14,2020-11-26,PL9,Mazowieckie
587,23,23,t16,2020-11-26,PL52,Opolskie
649,69,59,t18,2020-11-26,PL82,Podkarpackie
464,24,21,t20,2020-11-26,PL84,Podlaskie
1105,32,27,t22,2020-11-26,PL63,Pomorskie
1824,69,66,t24,2020-11-26,PL22,Śląskie
473,10,10,t26,2020-11-26,PL72,Świętokrzyskie
1210,22,19,t28,2020-11-26,PL62,Warmińsko-Mazurskie
1668,45,37,t30,2020-11-26,PL41,Wielkopolskie
991,23,20,t32,2020-11-26,PL42,Zachodniopomorskie
825,37,16,t02,2020-11-25,PL51,Dolnośląskie
1321,35,22,t04,2020-11-25,PL61,Kujawsko-Pomorskie
932,52,49,t06,2020-11-25,PL81,Lubelskie
504,8,6,t08,2020-11-25,PL43,Lubuskie
1010,60,36,t10,2020-11-25,PL71,Łódzkie
933,86,58,t12,2020-11-25,PL21,Małopolskie
1577,94,83,t14,2020-11-25,PL9,Mazowieckie
459,39,37,t16,2020-11-25,PL52,Opolskie
590,36,33,t18,2020-11-25,PL82,Podkarpackie
449,13,13,t20,2020-11-25,PL84,Podlaskie
1126,25,3,t22,2020-11-25,PL63,Pomorskie
1941,53,49,t24,2020-11-25,PL22,Śląskie
303,19,12,t26,2020-11-25,PL72,Świętokrzyskie
858,34,30,t28,2020-11-25,PL62,Warmińsko-Mazurskie
1420,66,60,t30,2020-11-25,PL41,Wielkopolskie
1011,17,15,t32,2020-11-25,PL42,Zachodniopomorskie
1035,51,50,t02,2020-11-24,PL51,Dolnośląskie
521,17,17,t04,2020-11-24,PL61,Kujawsko-Pomorskie
670,8,6,t06,2020-11-24,PL81,Lubelskie
267,14,9,t08,2020-11-24,PL43,Lubuskie
563,39,29,t10,2020-11-24,PL71,Łódzkie
486,64,45,t12,2020-11-24,PL21,Małopolskie
1166,51,50,t14,2020-11-24,PL9,Mazowieckie
512,24,24,t16,2020-11-24,PL52,Opolskie
540,13,10,t18,2020-11-24,PL82,Podkarpackie
309,19,19,t20,2020-11-24,PL84,Podlaskie
979,35,32,t22,2020-11-24,PL63,Pomorskie
945,77,74,t24,2020-11-24,PL22,Śląskie
359,17,17,t26,2020-11-24,PL72,Świętokrzyskie
473,31,29,t28,2020-11-24,PL62,Warmińsko-Mazurskie
630,41,40,t30,2020-11-24,PL41,Wielkopolskie
457,39,34,t32,2020-11-24,PL42,Zachodniopomorskie
